make,model,variant,year,mileage_km,inspection_score,engine_cc,fuel_type,transmission,body_type,city,ownership_count,service_history,accident_history,price,synthetic_data_only
Honda,City,1.5 Aspire,2015,169086,9.0,1500,Petrol,Automatic,Sedan,Islamabad,1,partial,none,3462360,True
Toyota,Corolla,GLi,2013,230878,7.8,1800,Petrol,Manual,Sedan,Faisalabad,2,partial,none,1077643,True
Hyundai,Elantra,Ultimate,2021,86780,8.3,2000,Petrol,Manual,Sedan,Rawalpindi,1,full,minor,4966621,True
Hyundai,Elantra,Ultimate,2012,228555,8.6,2000,Petrol,Manual,Sedan,Karachi,1,full,none,2752809,True
Toyota,Corolla,Altis,2020,112082,9.0,1800,Petrol,Automatic,Sedan,Islamabad,2,partial,none,5102794,True
Toyota,Yaris,ATIV X,2022,92859,6.3,1500,Petrol,Manual,Sedan,Faisalabad,1,full,none,4411328,True
Hyundai,Tucson,FWD,2015,178739,8.8,2000,Petrol,Manual,SUV,Lahore,2,partial,none,3716960,True
Honda,City,1.2LS,2020,108313,6.1,1500,Petrol,Automatic,Sedan,Karachi,1,full,none,4181802,True
Hyundai,Tucson,AWD,2016,182769,8.0,2000,Petrol,Automatic,SUV,Faisalabad,1,partial,none,3883769,True
Hyundai,Elantra,Ultimate,2025,29883,7.4,2000,Petrol,Manual,Sedan,Faisalabad,2,full,none,6148142,True
Suzuki,Alto,VX,2013,241227,8.4,660,Petrol,Automatic,Hatchback,Karachi,1,partial,none,932974,True
Kia,Picanto,AT,2014,196388,6.5,1000,Petrol,Automatic,Hatchback,Faisalabad,1,full,none,1784458,True
Toyota,Yaris,ATIV X,2013,203550,5.2,1500,Petrol,Automatic,Sedan,Rawalpindi,1,partial,minor,704798,True
Honda,City,1.5 Aspire,2020,118186,8.1,1500,Petrol,Automatic,Sedan,Islamabad,4,full,none,4535662,True
Hyundai,Tucson,FWD,2017,151761,8.5,2000,Petrol,Manual,SUV,Faisalabad,1,partial,none,4111912,True
Suzuki,Alto,VXR,2013,227661,7.2,660,Petrol,Automatic,Hatchback,Rawalpindi,1,partial,none,950283,True
Suzuki,Alto,VXL AGS,2023,68039,6.1,660,Petrol,Automatic,Hatchback,Rawalpindi,2,full,none,4050700,True
Honda,Civic,VTi,2014,241728,9.8,1800,Petrol,Automatic,Sedan,Faisalabad,1,full,minor,2928024,True
Hyundai,Elantra,GLS,2014,231119,6.0,2000,Hybrid,Manual,Sedan,Rawalpindi,1,full,minor,1222892,True
Hyundai,Elantra,GLS,2016,160742,9.9,2000,Hybrid,Manual,Sedan,Faisalabad,4,full,none,3745799,True
Kia,Picanto,MT,2025,25622,9.4,1000,Hybrid,Manual,Hatchback,Rawalpindi,3,partial,none,5969127,True
Honda,City,1.5 Aspire,2020,96134,8.6,1500,Diesel,Manual,Sedan,Rawalpindi,3,unknown,none,4415151,True
Suzuki,Alto,VXR,2013,230957,8.0,660,Diesel,Automatic,Hatchback,Islamabad,2,full,none,984095,True
Hyundai,Tucson,FWD,2013,224719,8.6,2000,Petrol,Automatic,SUV,Faisalabad,2,full,none,3093444,True
Toyota,Corolla,GLi,2022,77418,6.5,1800,Petrol,Automatic,Sedan,Faisalabad,2,partial,none,4734286,True
Suzuki,Alto,VXL AGS,2018,144973,8.5,660,Petrol,Automatic,Hatchback,Faisalabad,2,partial,none,3497142,True
Hyundai,Elantra,Ultimate,2017,161925,8.0,2000,Hybrid,Manual,Sedan,Karachi,2,partial,none,3802522,True
Honda,City,1.5 Aspire,2022,62594,8.1,1500,Petrol,Automatic,Sedan,Karachi,1,full,none,5619613,True
Suzuki,Swift,GLX CVT,2016,205288,8.2,1200,Petrol,Automatic,Hatchback,Karachi,3,full,none,2695676,True
Hyundai,Tucson,FWD,2019,107004,7.4,2000,Hybrid,Manual,SUV,Karachi,2,full,none,4830782,True
Kia,Picanto,AT,2013,257192,8.7,1000,Petrol,Automatic,Hatchback,Rawalpindi,1,full,none,1261864,True
Hyundai,Tucson,FWD,2013,220889,7.2,2000,Petrol,Automatic,SUV,Lahore,4,full,none,2081138,True
Toyota,Corolla,XLi,2015,201064,6.7,1800,Petrol,Automatic,Sedan,Faisalabad,1,full,none,2607794,True
Suzuki,Swift,GLX CVT,2022,76551,7.3,1200,Petrol,Manual,Hatchback,Faisalabad,1,partial,none,4816906,True
Hyundai,Elantra,Ultimate,2023,72109,7.1,2000,Petrol,Automatic,Sedan,Rawalpindi,1,partial,major,5216137,True
Suzuki,Alto,VXL AGS,2020,97302,7.5,660,Petrol,Automatic,Hatchback,Lahore,2,full,none,4056820,True
Honda,Civic,Oriel,2012,236944,9.0,1800,Petrol,Automatic,Sedan,Lahore,2,full,none,1416633,True
Hyundai,Elantra,GLS,2017,140434,7.0,2000,Petrol,Manual,Sedan,Faisalabad,2,full,major,2777865,True
Toyota,Corolla,Altis,2014,212430,8.5,1800,Diesel,Manual,Sedan,Faisalabad,3,partial,none,1970964,True
Suzuki,Alto,VXL AGS,2022,69076,9.2,660,Petrol,Automatic,Hatchback,Faisalabad,1,unknown,none,4765230,True
Toyota,Corolla,Altis,2024,12858,7.0,1800,Petrol,Automatic,Sedan,Karachi,1,partial,none,5879476,True
Hyundai,Tucson,AWD,2013,237479,7.5,2000,Petrol,Automatic,SUV,Islamabad,2,full,minor,2098744,True
Suzuki,Swift,DLX,2024,20117,8.9,1200,Petrol,Automatic,Hatchback,Islamabad,1,full,none,6155385,True
Honda,City,1.5 Aspire,2015,183883,7.9,1500,Petrol,Automatic,Sedan,Islamabad,1,full,none,2726478,True
Honda,Civic,RS,2017,175953,8.1,1800,Petrol,Automatic,Sedan,Rawalpindi,1,full,none,3771821,True
Hyundai,Tucson,FWD,2018,161106,9.3,2000,Petrol,Manual,SUV,Rawalpindi,2,partial,none,3992751,True
Kia,Sportage,Alpha,2013,208818,9.1,2000,Petrol,Automatic,SUV,Lahore,1,full,none,3856743,True
Hyundai,Tucson,FWD,2021,102288,8.3,2000,Diesel,Manual,SUV,Rawalpindi,4,partial,none,5247715,True
Kia,Picanto,AT,2019,132926,6.7,1000,Petrol,Automatic,Hatchback,Faisalabad,1,unknown,minor,2744831,True
Kia,Sportage,AWD,2012,243911,7.2,2000,Petrol,Automatic,SUV,Rawalpindi,1,partial,none,1634919,True
Toyota,Corolla,XLi,2019,121981,8.4,1800,Petrol,Automatic,Sedan,Faisalabad,3,unknown,minor,4150669,True
Suzuki,Swift,GLX CVT,2017,171359,9.1,1200,Petrol,Automatic,Hatchback,Islamabad,2,full,none,3127377,True
Honda,City,1.5 Aspire,2023,61459,9.6,1500,Petrol,Manual,Sedan,Islamabad,1,partial,none,5416867,True
Honda,City,1.2LS,2016,190189,8.3,1500,Hybrid,Automatic,Sedan,Rawalpindi,1,partial,none,3101954,True
Suzuki,Alto,VX,2021,89238,6.9,660,Petrol,Automatic,Hatchback,Lahore,2,full,none,4035630,True
Toyota,Corolla,GLi,2022,90245,10.0,1800,Petrol,Manual,Sedan,Islamabad,1,partial,minor,5332785,True
Kia,Sportage,AWD,2023,46891,5.0,2000,Hybrid,Manual,SUV,Lahore,3,full,minor,5711021,True
Suzuki,Alto,VX,2016,207564,7.3,660,Diesel,Manual,Hatchback,Faisalabad,2,unknown,none,1465348,True
Suzuki,Alto,VX,2017,172424,8.9,660,Petrol,Manual,Hatchback,Islamabad,2,partial,minor,2781591,True
Hyundai,Tucson,FWD,2018,113842,7.4,2000,Petrol,Manual,SUV,Lahore,1,full,none,4692784,True
Suzuki,Swift,DLX,2016,164267,6.3,1200,Petrol,Manual,Hatchback,Islamabad,1,partial,major,1477516,True
Suzuki,Swift,DLX,2015,170654,9.1,1200,Petrol,Automatic,Hatchback,Islamabad,1,full,none,2861687,True
Honda,Civic,RS,2024,9894,6.6,1800,Petrol,Automatic,Sedan,Islamabad,1,partial,none,5938760,True
Honda,Civic,Oriel,2025,17190,7.2,1800,Petrol,Automatic,Sedan,Karachi,3,full,none,6283180,True
Hyundai,Tucson,FWD,2020,76262,8.3,2000,Petrol,Automatic,SUV,Karachi,2,partial,none,6078110,True
Toyota,Yaris,GLI CVT,2016,202500,6.1,1500,Petrol,Automatic,Sedan,Rawalpindi,1,unknown,none,1883886,True
Hyundai,Tucson,FWD,2022,107749,7.3,2000,Petrol,Automatic,SUV,Karachi,1,full,none,5544675,True
Toyota,Yaris,ATIV X,2022,73479,7.6,1500,Petrol,Manual,Sedan,Rawalpindi,1,full,major,4184373,True
Toyota,Corolla,Altis,2018,112306,5.9,1800,Hybrid,Manual,Sedan,Karachi,1,full,none,4073256,True
Hyundai,Tucson,FWD,2020,116902,8.3,2000,Petrol,Automatic,SUV,Islamabad,1,unknown,none,5432550,True
Suzuki,Alto,VXR,2014,237759,7.7,660,Petrol,Manual,Hatchback,Faisalabad,3,unknown,minor,450000,True
Suzuki,Swift,GLX CVT,2023,63300,7.2,1200,Petrol,Automatic,Hatchback,Rawalpindi,1,full,minor,5020079,True
Hyundai,Elantra,Ultimate,2018,134959,7.6,2000,Petrol,Manual,Sedan,Karachi,3,partial,none,3543856,True
Kia,Sportage,Alpha,2015,211248,8.3,2000,Petrol,Manual,SUV,Lahore,3,full,major,2923254,True
Honda,Civic,RS,2024,22699,7.9,1800,Petrol,Manual,Sedan,Lahore,2,partial,none,5851556,True
Kia,Picanto,AT,2013,244841,8.4,1000,Petrol,Manual,Hatchback,Lahore,1,full,none,1422463,True
Honda,Civic,Oriel,2020,129719,7.2,1800,Petrol,Manual,Sedan,Islamabad,1,partial,none,4156834,True
Hyundai,Tucson,AWD,2014,210318,7.7,2000,Petrol,Automatic,SUV,Lahore,3,full,none,3342794,True
Toyota,Corolla,Altis,2012,253670,6.6,1800,Hybrid,Manual,Sedan,Lahore,1,full,none,1306477,True
Hyundai,Tucson,FWD,2012,230410,6.6,2000,Petrol,Automatic,SUV,Faisalabad,4,full,minor,1603468,True
Honda,Civic,VTi,2020,114972,8.4,1800,Petrol,Automatic,Sedan,Islamabad,2,full,major,4206753,True
Suzuki,Alto,VXL AGS,2025,45799,7.6,660,Petrol,Automatic,Hatchback,Rawalpindi,1,full,none,5309340,True
Hyundai,Tucson,FWD,2020,119364,7.4,2000,Hybrid,Automatic,SUV,Faisalabad,1,full,none,5266550,True
Toyota,Corolla,GLi,2012,238295,9.3,1800,Petrol,Automatic,Sedan,Rawalpindi,3,full,none,1837539,True
Hyundai,Tucson,AWD,2024,33950,5.7,2000,Petrol,Manual,SUV,Islamabad,1,full,minor,6144592,True
Hyundai,Tucson,FWD,2022,27514,7.3,2000,Petrol,Automatic,SUV,Rawalpindi,1,partial,none,6783127,True
Kia,Picanto,MT,2023,66727,8.2,1000,Petrol,Automatic,Hatchback,Lahore,2,full,none,5164162,True
Suzuki,Alto,VX,2013,249876,8.3,660,Petrol,Automatic,Hatchback,Karachi,1,partial,none,903971,True
Hyundai,Elantra,Ultimate,2018,138232,8.1,2000,Hybrid,Automatic,Sedan,Lahore,2,full,none,4608604,True
Toyota,Corolla,GLi,2016,199909,6.6,1800,Petrol,Manual,Sedan,Lahore,2,full,none,2572924,True
Honda,City,1.2LS,2018,131629,9.3,1500,Hybrid,Manual,Sedan,Islamabad,1,partial,none,4102386,True
Honda,City,1.5 Aspire,2014,239255,10.0,1500,Petrol,Automatic,Sedan,Rawalpindi,4,partial,none,2276820,True
Hyundai,Tucson,FWD,2021,109183,10.0,2000,Petrol,Automatic,SUV,Karachi,4,full,minor,5558505,True
Hyundai,Tucson,FWD,2022,98729,7.5,2000,Petrol,Automatic,SUV,Rawalpindi,1,unknown,none,5674088,True
Kia,Picanto,MT,2024,63445,7.4,1000,Hybrid,Automatic,Hatchback,Karachi,1,full,none,5483393,True
Hyundai,Tucson,AWD,2013,218933,8.7,2000,Petrol,Automatic,SUV,Faisalabad,2,full,none,2985021,True
Kia,Sportage,FWD,2012,237024,7.9,2000,Hybrid,Manual,SUV,Lahore,1,full,minor,2428300,True
Hyundai,Tucson,FWD,2016,186651,9.6,2000,Petrol,Manual,SUV,Karachi,2,full,major,3697404,True
Honda,Civic,Oriel,2020,90063,8.4,1800,Hybrid,Automatic,Sedan,Lahore,2,full,none,5210744,True
Hyundai,Elantra,GLS,2015,220800,7.5,2000,Hybrid,Automatic,Sedan,Faisalabad,1,full,none,3356612,True
Hyundai,Tucson,AWD,2021,83079,8.2,2000,Petrol,Automatic,SUV,Lahore,3,partial,none,5626029,True
Toyota,Corolla,GLi,2013,238901,8.6,1800,Petrol,Automatic,Sedan,Lahore,2,full,none,2271834,True
Honda,Civic,Oriel,2016,189949,8.6,1800,Petrol,Manual,Sedan,Islamabad,4,full,none,2764819,True
Hyundai,Tucson,AWD,2023,44116,8.5,2000,Petrol,Manual,SUV,Lahore,1,full,none,6454944,True
Hyundai,Tucson,FWD,2021,113427,9.2,2000,Hybrid,Automatic,SUV,Karachi,2,full,none,6052892,True
Honda,City,1.2LS,2019,99888,7.6,1500,Petrol,Automatic,Sedan,Karachi,2,full,minor,4316115,True
Suzuki,Swift,DLX,2021,97851,8.4,1200,Petrol,Manual,Hatchback,Islamabad,2,partial,none,3974536,True
Kia,Sportage,Alpha,2024,58636,8.4,2000,Diesel,Automatic,SUV,Lahore,2,full,none,6524872,True
Honda,City,1.5 Aspire,2014,203411,7.4,1500,Petrol,Automatic,Sedan,Karachi,1,partial,none,1701206,True
Kia,Sportage,AWD,2013,239849,7.6,2000,Petrol,Automatic,SUV,Karachi,2,full,major,1549492,True
Hyundai,Tucson,AWD,2025,13252,9.3,2000,Petrol,Automatic,SUV,Islamabad,3,partial,none,7344795,True
Honda,City,1.5 Aspire,2012,249210,9.1,1500,Diesel,Automatic,Sedan,Islamabad,1,unknown,none,1573963,True
Suzuki,Alto,VXR,2022,80909,7.4,660,Petrol,Manual,Hatchback,Lahore,1,full,none,4479733,True
Kia,Picanto,MT,2012,263362,7.1,1000,Diesel,Automatic,Hatchback,Lahore,1,full,none,450000,True
Toyota,Yaris,ATIV X,2016,200200,9.4,1500,Petrol,Manual,Sedan,Lahore,1,partial,none,3117726,True
Honda,City,1.5 Aspire,2025,28025,8.3,1500,Petrol,Manual,Sedan,Rawalpindi,1,full,minor,6234612,True
Toyota,Corolla,Altis,2021,70082,6.8,1800,Petrol,Automatic,Sedan,Islamabad,1,partial,none,4881673,True
Honda,City,1.5 Aspire,2013,208966,7.9,1500,Petrol,Automatic,Sedan,Karachi,4,unknown,none,1529520,True
Kia,Picanto,AT,2020,95513,5.9,1000,Diesel,Automatic,Hatchback,Karachi,2,full,none,3761054,True
Suzuki,Swift,GLX CVT,2023,48253,6.4,1200,Petrol,Manual,Hatchback,Karachi,1,full,none,4918409,True
Kia,Picanto,AT,2021,67307,6.1,1000,Petrol,Manual,Hatchback,Rawalpindi,2,partial,none,3871203,True
Kia,Sportage,FWD,2022,79915,7.7,2000,Petrol,Automatic,SUV,Karachi,1,unknown,none,5483281,True
Suzuki,Alto,VXR,2014,215948,5.4,660,Petrol,Manual,Hatchback,Karachi,1,full,none,1376878,True
Hyundai,Tucson,AWD,2012,248050,6.2,2000,Petrol,Manual,SUV,Karachi,3,partial,none,1343300,True
Toyota,Corolla,XLi,2015,214414,8.1,1800,Hybrid,Manual,Sedan,Karachi,2,unknown,minor,2392229,True
Suzuki,Swift,DLX,2021,106807,6.8,1200,Hybrid,Manual,Hatchback,Faisalabad,4,unknown,none,3842838,True
Suzuki,Swift,GLX CVT,2013,231848,7.8,1200,Petrol,Automatic,Hatchback,Islamabad,2,full,none,1265984,True
Kia,Sportage,Alpha,2012,251567,8.0,2000,Petrol,Automatic,SUV,Karachi,4,full,none,1753098,True
Suzuki,Alto,VX,2020,126676,7.7,660,Diesel,Automatic,Hatchback,Lahore,2,full,major,2679487,True
Suzuki,Swift,DLX,2021,86537,8.3,1200,Hybrid,Manual,Hatchback,Faisalabad,1,partial,none,4738609,True
Suzuki,Swift,GLX CVT,2017,149443,8.1,1200,Diesel,Manual,Hatchback,Faisalabad,1,full,none,3317819,True
Honda,City,1.5 Aspire,2019,137663,7.7,1500,Petrol,Automatic,Sedan,Faisalabad,1,partial,none,4144675,True
Honda,City,1.5 Aspire,2020,122455,8.1,1500,Hybrid,Manual,Sedan,Rawalpindi,3,partial,none,4621970,True
Toyota,Corolla,XLi,2025,37110,8.0,1800,Petrol,Automatic,Sedan,Karachi,2,full,minor,6133709,True
Toyota,Corolla,Altis,2019,128878,7.3,1800,Hybrid,Automatic,Sedan,Karachi,1,full,none,4515528,True
Toyota,Yaris,ATIV X,2014,199754,6.2,1500,Petrol,Automatic,Sedan,Lahore,1,partial,none,2438480,True
Hyundai,Tucson,FWD,2013,232180,8.4,2000,Petrol,Automatic,SUV,Faisalabad,1,unknown,none,3022129,True
Hyundai,Tucson,AWD,2021,109151,6.6,2000,Petrol,Manual,SUV,Lahore,1,partial,none,4814027,True
Hyundai,Tucson,FWD,2014,237286,8.8,2000,Petrol,Automatic,SUV,Karachi,2,unknown,none,2051150,True
Honda,Civic,VTi,2021,117162,7.0,1800,Petrol,Automatic,Sedan,Islamabad,3,partial,none,4762136,True
Hyundai,Tucson,FWD,2019,131947,7.9,2000,Petrol,Manual,SUV,Rawalpindi,1,unknown,none,4680917,True
Suzuki,Alto,VX,2014,176532,5.5,660,Petrol,Automatic,Hatchback,Islamabad,4,full,major,724812,True
Toyota,Yaris,ATIV X,2017,168896,8.3,1500,Diesel,Automatic,Sedan,Rawalpindi,2,full,major,2929664,True
